Data,Investido,TIpo,Quem investiu,Valor,,,,,,,,,,,,,,,,,,,,
01/09/2008,ComperaNTime,was acquired by,- Naspers,ND,,,,,,,,,,,,,,,,,,,,
01/08/2008,Spring Wireless,raised funds from,"- IDNT
   - NEA
   - Goldman Sachs","USD 56,000,000",,,,,,,,,,,,,,,,,,,,
01/06/2008,Vostu,raised funds from,- Intel Capital,"USD 1,300,000",,,,,,,,,,,,,,,,,,,,
01/02/2008,Power.com,raised funds from,- Draper Fisher Jurvetson,ND,,,,,,,,,,,,,,,,,,,,
01/02/2008,Digiweb,was acquired by,- UOL,ND,,,,,,,,,,,,,,,,,,,,
01/01/2008,BlogBlogs,was acquired by,"- Naspers
   - Abril Digital",ND,,,,,,,,,,,,,,,,,,,,
01/09/2007,Ikwa,raised funds from,- Monashees Capital,ND,,,,,,,,,,,,,,,,,,,,
01/07/2007,boo-box,raised funds from,- Monashees Capital,"USD 300,000",,,,,,,,,,,,,,,,,,,,
01/07/2007,BrPay,was acquired by,- UOL,ND,,,,,,,,,,,,,,,,,,,,
01/06/2007,Zura,raised funds from,- IDNT,ND,,,,,,,,,,,,,,,,,,,,
01/03/2007,Via6,raised funds from,- Confrapar,"USD 500,000",,,,,,,,,,,,,,,,,,,,
01/02/2006,BondFaro,raised funds from,- Buscapé,ND,,,,,,,,,,,,,,,,,,,,
01/12/2005,Buscapé,was acquired by,Great Hill Partners,(majoritário),,http://www.greathillpartners.com/news/details/2009/120,,,,,,,,,,,,,,,,,,
12/11/2005,Arremate,was acquired by,MercadoLibre,"USD 12,100,00",,http://investor.mercadolibre.com/secfiling.cfm?filingID=1193125-14-78151,,,,,,,,,,,,,,,,,,
01/07/2005,Akwan,was acquired by,- Google,ND,,,,,,,,,,,,,,,,,,,,
01/05/2004,IG,was acquired by,- Brasil Telecom,"USD 100,000,000",,,,,,,,,,,,,,,,,,,,
01/12/2002,Lokau,was acquired by,MercadoLibre,,,http://www.sec.gov/Archives/edgar/data/1099590/000119312508012485/ds1.htm,,,,,,,,,,,,,,,,,,
01/08/2002,Ibest,was acquired by,- Brasil Telecom,"BRL 50,000,000",,,,,,,,,,,,,,,,,,,,
01/03/2002,Universia,raised funds by,Santander,"BRL 40,000,000",http://noticias.universia.com.br/destaque/noticia/2002/03/06/552274/santander-lana-portal-ensino.html,,,,,,,,,,,,,,,,,,,
01/02/2002,Scopus,was acquired by,Bradesco,"BRL 37,000,000",75%,https://www.google.com.br/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&ved=0CCwQFjAD&url=http%3A%2F%2Fwww.cvm.gov.br%2Fdados%2Ffatos%2F20020301_BANCO_BRADESCO_SA_E_BRADESPAR_SA.doc&ei=JH3OVNDTKdH4yQTroIKYCQ&usg=AFQjCNEF82S6w_90evG45K4daBSyDvmICQ&sig2=M3Vk7SprbFKjXbsHBIbiuA,LUCRO da Bradespar - http://extapps.mz-ir.com/rao/bradespar/2003/RA2003.pdf,,,,,,,,,,,,,,,,,
01/02/2002,Webmotors,was acquired by,- Banco Real,ND,,,,,,,,,,,,,,,,,,,,
01/01/2002,Cadê,was acquired by,- Yahoo,ND,,,,,,,,,,,,,,,,,,,,
01/12/2001,Mlab,was acquired by,- Cemex,"USD 36,000,000",,,,,,,,,,,,,,,,,,,,
01/11/2001,Lokau,was acquired by,- Brasil Telecom,ND,,,,,,,,,,,,,,,,,,,,
01/10/2001,iBazar,was acquired by,MercadoLibre,"19,5% do ML para o eBay",http://idgnow.com.br/mercado/2001/10/01/idgnoticia.2006-05-07.0261726552/,,,,,,,,,,,,,,,,,,,
01/07/2001,hpG,was acquired by,- IG,ND,,,,,,,,,,,,,,,,,,,,
22/02/2001,iBazar,was acquired by,eBay,"USD 103,000,000",,http://www1.folha.uol.com.br/folha/informatica/ult124u4581.shtml,,,,,,,,,,,,,,,,,,
22/02/2001,UOL,was acquired by,Portugal Telecom,"USD 100,000,000 + ZipMail (Folhapar também colocou USD 100,000,000)",".17,9%","http://www.estadao.com.br/noticias/geral,portugal-telecom-compra-17-9-da-uol,20010222p55781",,,,,,,,,,,,,,,,,,
19/12/2000,Idealyze ,was acquired by,Portugal Telecom,"USD 15,000,000",33%,http://www1.folha.uol.com.br/folha/dinheiro/ult91u11971.shtml,,,,,,,,,,,,,,,,,,
01/12/2000,OfficeNet,raised funds from,GP Investimentos,ND,,,,,,,,,,,,,,,,,,,,
01/06/2000,Salutia,raised funds from,CNN,ND,,http://www.emol.com/noticias/tecnologia/2000/06/15/23702/cnn-en-espanol-anuncia-alianza-estrategica-con-salutia.html,,,,,,,,,,,,,,,,,,
01/06/2000,America Online Latin America,was acquired by,Itaú,ND,12%,http://www1.folha.uol.com.br/fsp/dinheiro/fi1406200024.htm,http://veja.abril.com.br/210600/p_139.html,,,,,,,,,,,,,,,,,
01/06/2000,Globo.com,was acquired by,- Telecom Itália,"USD 865,000,000",,,,,,,,,,,,,,,,,,,,
01/05/2000,Despegar Viajo,raised funds from,GP Investimentos,ND,,,,,,,,,,,,,,,,,,,,
01/05/2000,Patagon,partnership with,UOL,"USD 8,000,000",,http://sobre.uol.com.br/ultnot/novidade/noticias/ult98u31.jhtm,,,,,,,,,,,,,,,,,,
01/04/2000,Lokau,partnership with,UOL,"USD 20,000,000",,http://www1.folha.uol.com.br/fsp/dinheiro/fi1404200017.htm,,,,,,,,,,,,,,,,,,
01/02/2000,Zipmail,was acquired by,- Portugal Telecom,"USD 365,000,000",,http://www1.folha.uol.com.br/fsp/informat/fr2505200536.htm,,,,,,,,,,,,,,,,,,
01/02/2000,GuiaSP e GuiaRJ,was acquired by,- Starmedia,ND,,,,,,,,,,,,,,,,,,,,
01/01/2000,Maxlog,raised funds from,GP Investimentos,ND,,,,,,,,,,,,,,,,,,,,
01/11/1999,Zipmail,raised funds from,Unibanco,"USD 15,000,000",12%,http://exame.abril.com.br/revista-exame/edicoes/758/noticias/de-roupa-nova-m0050631,,,,,,,,,,,,,,,,,,
02/12/1999,iG,raised funds from,GP Investimentos,ND,,,,,,,,,,,,,,,,,,,,
03/12/1999,iBest,raised funds from,GP Investimentos,ND,15%,http://www.telecompaper.com/news/gp-investimentos-acquires-15-of-ibest--197096,,,,,,,,,,,,,,,,,,
01/12/1999,Mercado Eletrônico,raised funds from,GP Investimentos,ND,,http://www.ise.ie/debt_documents/GP%20Investments_23.01.07_6512.pdf?v=402015,,,,,,,,,,,,,,,,,,
01/12/1999,Elefante,was acquired by,GP Investimentos,ND,,http://www.gp.com.br/gp2012/web/arquivos/GP_Prospecto_Definitivo_20080502_eng.pdf,,,,,,,,,,,,,,,,,,
01/11/1999,Nettrade,was acquired by,- Patagon,ND,,,,,,,,,,,,,,,,,,,,
01/10/1999,Buscapé,raised funds from,- Anibal Messa,ND,,,,,,,,,,,,,,,,,,,,
01/09/1999,Lokau,was acquired by,GP Investimentos,ND,,,,,,,,,,,,,,,,,,,,
01/06/1999,ZAZ,was acquired by,Telefônica,"USD 240,000,000",,,,,,,,,,,,,,,,,,,,
01/06/1999,Webmotors,raised funds from,GP Investimentos JP Morgan,ND,,,,,,,,,,,,,,,,,,,,
01/06/1999,Patagon,raised funds from,GP Investimentos,ND,,,,,,,,,,,,,,,,,,,,
01/06/1999,Booknet,was acquired by,GP Investimentos,"USD 5,000,000",,,,,,,,,,,,,,,,,,,,
01/06/1999,MetaMiner,was acquired by,- UOL,ND,,,,,,,,,,,,,,,,,,,,
01/04/1999,Cadê,was acquired by,- Starmedia,"USD 13,000,000",,,,,,,,,,,,,,,,,,,,
01/02/1999,Zeek,was acquired by,- Starmedia,"USD 810,000",,,,,,,,,,,,,,,,,,,,
01/06/1998,Mandic,was acquired by,Impsat,ND,75%,http://www1.folha.uol.com.br/fol/tec/ult010698025.htm,,,,,,,,,,,,,,,,,,
XX/1996,Mandic,was acquired by,GP Investimentos,ND,50%,,,,,,,,,,,,,,,,,,,
