Data,Investido,TIpo,Quem investiu,Valor,,,,,,,,,,,,,,,,,,,,
01/08/2014,intoo,raised funds from,MercadoLibre,,,,,,,,,,,,,,,,,,,,,
01/08/2014,InfoSolution,was acquired by,BRQ,,,,,,,,,,,,,,,,,,,,,
01/07/2014,Tipit,was acquired by,Netshow.me,,,,,,,,,,,,,,,,,,,,,
01/07/2014,Torcedores.com,raised funds from,Pedro Navio Bryan Johnson Craig Earnshaw,,,,,,,,,,,,,,,,,,,,,
01/07/2014,Easy Taxi,raised funds from,Phenomen Ventures Tengelmann Group,"USD 40,000,000",,,,,,,,,,,,,,,,,,,,
01/07/2014,Alog,was acquired by,Equinix,"USD 225,000,000",,,,,,,,,,,,,,,,,,,,
01/07/2014,Blumpa,raised funds from,NH Investimentos,,,,,,,,,,,,,,,,,,,,,
01/07/2014,Baby.com.br,was acquired by,BebêStore,,,,,,,,,,,,,,,,,,,,,
01/06/2014,Superplayer,raised funds from,"- 21212
   - Movile","BRL 1,150,000",,,,,,,,,,,,,,,,,,,,
01/06/2014,Ingresse,raised funds from,"- e.Bricks Digital
   - DGF Investimentos
   - Qualcomm Ventures","BRL 10,000,000",,,,,,,,,,,,,,,,,,,,
01/06/2014,Piggme,raised funds from,- Haya Investimentos,"BRL 3,200,000",,,,,,,,,,,,,,,,,,,,
01/06/2014,E2E,raised funds from,- A5 Investimentos,"BRL 5,000,000",,,,,,,,,,,,,,,,,,,,
01/06/2014,Netshow.me,raised funds from,"- Rodrigo Borges
   - Antônio Henrique Prado",ND,,,,,,,,,,,,,,,,,,,,
01/06/2014,Gestor,was acquired by,- Rede Cigam,"BRL 8,000,000",,,,,,,,,,,,,,,,,,,,
01/06/2014,Adtrade,was acquired by,- ESV Digital Brasil,ND,,,,,,,,,,,,,,,,,,,,
01/05/2014,4Good,raised funds from,- A5 Investimentos,"BRL 3,500,000",,,,,,,,,,,,,,,,,,,,
01/05/2014,Evino,raised funds from,,"BRL 7,000,000",,,,,,,,,,,,,,,,,,,,
01/05/2014,Guiabolso,raised funds from,"- Kaszek Ventures
   - Valor Capital
   - e.Bricks Digital
   - Gabriel Jaramillo","USD 3,000,000",,,,,,,,,,,,,,,,,,,,
01/05/2014,Aquiris Game Studio,raised funds from,- CRP Companhia de Participações,ND,,,,,,,,,,,,,,,,,,,,
01/05/2014,SensorWeb,raised funds from,- Fanem,ND,,,,,,,,,,,,,,,,,,,,
01/05/2014,Datastorm,raised funds from,- Stefanini,ND,,,,,,,,,,,,,,,,,,,,
01/05/2014,iMusica,was acquired by,- Claro,"BRL 49,100,000",,,,,,,,,,,,,,,,,,,,
01/05/2014,Rezende Sistemas,was acquired by,- Linx,"BRL 49,900,000",,,,,,,,,,,,,,,,,,,,
01/05/2014,Virtual Age,was acquired by,- Totvs,"BRL 75,000,000",,,,,,,,,,,,,,,,,,,,
01/04/2014,Bidu,raised funds from,"- Monashees Capital
   - Otto Capital
   - Amadeus Capital
   - Bertelsmann","BRL 20,000,000",,,,,,,,,,,,,,,,,,,,
01/04/2014,Intelipost,raised funds from,- Project-A Ventures,"BRL 800,000",,,,,,,,,,,,,,,,,,,,
01/03/2014,Vindi,raised funds from,,"BRL 1,000,000",,,,,,,,,,,,,,,,,,,,
