Data,Startup,O que,Investidor,Valor,
4/1/2013,TrabalhoJá,raised funds from,Capital Indigo,"USD 5,500,000",
4/1/2013,Netpoints,raised funds from,Grupo Bozano,"BRL 100,000,000",
4/1/2013,Technorides,raised funds from,NXTP Labs,"USD 25,000",
4/1/2013,Sol Soluções Online,was acquired by,Planus,"BRL 3,000,000",
4/1/2013,GuideCentral,raised funds from,NXTP Labs,"USD 33,000",
4/1/2013,Profusion,was acquired by,Intel,,
4/1/2013,Evino,raised funds from,Project-A Ventures,,
4/1/2013,ProveAgora,raised funds from,HFPX Participações,,
4/1/2013,GetNinjas,raised funds from,"Kaszek Ventures
Monashees Capital
Otto Capital","USD 3,000,000",
4/1/2013,MinuTrade,raised funds from,Redpoint e.ventures,,
3/1/2013,I.Systems,raised funds from,Fundo Pitanga,,
3/1/2013,OpenTech,raised funds from,DLM,"BRL 10,000,000",
3/1/2013,Blucarros,was acquired by,RBS,,
4/1/2013,Pitzi,raised funds from,"Kaszek Ventures
João Alceu Amoroso Lima
José Marin
Fabrice Grinda
Thrive Capital
Initial Capital
Flybridge Capital",,
3/1/2013,ZoeMob.com,raised funds from,e.Bricks Digital,,
3/1/2013,Crowd.Mobi,raised funds from,João Kepler Braga,"BRL 300,000",
3/1/2013,Zynk,raised funds from,Zenvia,"BRL 5,000,000",
3/1/2013,Geofusion,raised funds from,Intel Capital,,
3/1/2013,CortaContas,was acquired by,ComparaOnline.com,,
3/1/2013,CellBroker,was acquired by,SolutionTech,"BRL 2,300,000",
3/1/2013,BebêStore,raised funds from,"Atomico
W7 Venture Capital","USD 10,200,000",
3/1/2013,Seller,was acquired by,Linx,"BRL 10,135,000",
3/1/2013,Senior Solution,raised funds from,,"BRL 62,100,000",
3/1/2013,Direção Processamento de Dados,was acquired by,Linx,"BRL 26,485,000",
3/1/2013,WebRadar,raised funds from,Intel Capital,,
3/1/2013,PrizEasy,raised funds from,Brazil Startups,"BRL 80,000",
3/1/2013,Startupi,raised funds from,"Aceleratech
ASA Capital
In Hsieh
Trindade Investimentos
Jacard Investimentos
Mountain do Brasil
Initial Capital
e.Bricks Digital
Cassio Spina
Redpoint e.ventures","USD 300,000",
3/1/2013,Cuponation,raised funds from,Holtzbrinck,"BRL 23,000,000",
2/1/2013,Jánamesa,raised funds from,Otto Capital,"BRL 1,500,000",
2/1/2013,Natue,raised funds from,Project-A Ventures,,
3/1/2013,Rock Content,raised funds from,"Digital News Ventures
e.Bricks Digital
Napkn Ventures","USD 500,000",
3/1/2013,Marerua Ltda,raised funds from,"Peter Fernandez
Jonathan Coon
Rafael Bertani
Levinthal Capital
Galen Hardy
Eduardo Steiner","USD 875,000",
2/1/2013,Samba Ads,raised funds from,"500 Startups
Rhodium
Initial Capital
Florian Otto
e.Bricks Digital","USD 500,000",
2/1/2013,Beercrew,raised funds from,HFPX Participações,,
2/1/2013,itBrain,was acquired by,Compusoftware,,
2/1/2013,Tienda Nube,raised funds from,NXTP Labs,"USD 8,000",
2/1/2013,I.ndigo,merged with,Taqtile,,
2/1/2013,Bolsa de Mulher,was acquired by,Batanga Media,"BRL 45,000,000",
2/1/2013,MeuCarango,was acquired by,Webmotors,,
2/1/2013,Legaljump,raised funds from,NXTP Labs,"USD 25,000",
2/1/2013,Zipcode,was acquired by,TransUnion,,
2/1/2013,EasyAula,raised funds from,Macmillan Digital Education,,
2/1/2013,Remarcados,raised funds from,"Gávea Angels
Lab22",,
2/1/2013,TransportarOnline,raised funds from,"Fundacion Chile
Hans Hickler
Startup Chile",,
2/1/2013,Veduca,raised funds from,Macmillan Digital Education,,
2/1/2013,Linx,raised funds from,,"BRL 527,800,000",
2/1/2013,SaferTaxi,raised funds from,"Draper Associates
Kaszek Ventures
Otto Capital","BRL 6,400,000",
2/1/2013,PetLove (petsupermarket),raised funds from,"Monashees Capital
Tiger Global Management","USD 9,808,256",
2/1/2013,CataMoeda,raised funds from,Fundo SC,,
2/1/2013,ResolveAí,raised funds from,Adriana Cisneros,"BRL 5,000,000",
2/1/2013,iFood,raised funds from,Movile,"BRL 5,500,000",
2/1/2013,Passei Direto,raised funds from,Redpoint e.ventures,,
2/1/2013,Widbook,raised funds from,W7 Brazil Capital,,
1/1/2013,uMov.me,raised funds from,Totvs Ventures,"BRL 3,200,000",
1/1/2013,PC Sistemas,was acquired by,Totvs,"BRL 95,000,000",
1/1/2013,Padtec,raised funds from,"BNDES
Ideiasnet","BRL 167,000,000",
1/1/2013,Mi Carga,raised funds from,NXTP Labs,"USD 25,000",
1/1/2013,Citibuddies,raised funds from,NXTP Labs,"USD 25,000",
1/1/2013,Sinimanes,raised funds from,NXTP Labs,"USD 120,000",
1/1/2013,Vontravel,raised funds from,NXTP Labs,"USD 25,000",
1/1/2013,Dotspin,raised funds from,NXTP Labs,"USD 25,000",
1/1/2013,Wideo,raised funds from,NXTP Labs,"USD 25,000",
1/1/2013,Femeninas,raised funds from,NXTP Labs,"USD 25,000",
1/1/2013,Ojala,raised funds from,NXTP Labs,"USD 25,000",
1/1/2013,Everypost,raised funds from,NXTP Labs,"USD 25,000",
1/1/2013,EscolherSeguro,raised funds from,Warehouse Investimentos,,
