NomeCandidato;NomeFornecedor;Valor;Descricao
JOSE AUGUSTO PINHEIRO DA SILVEIRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;125,54;REFERENTE IMPRESSÌÄO GRÌFICA DE 10.000 SANTINHOS FORMATO 7X10 CMS
JOSE AUGUSTO PINHEIRO DA SILVEIRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS FORMATO 6X9 CMS
JOSE AUGUSTO PINHEIRO DA SILVEIRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
HEITOR ANDRADE DE MACEDO FILHO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;380;IMPRESSÌÄO GRAFICA DE SANTINHOS 
HEITOR ANDRADE DE MACEDO FILHO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;251,08;REFERENTE IMPRESSÌÄO GRÌFICA DE 20.000 SANTINHOS FORMATO 7X10 CMS
HEITOR ANDRADE DE MACEDO FILHO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS FORMATO 6X9 CMS
HEITOR ANDRADE DE MACEDO FILHO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
JOZINEY ALVES AMORIM;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;1440;DOAÌàÌÄO DE 150.000 UNI. DE SANTINHOS FORMATO 6X9 CMS NF 3167.
CARLOS ALBERTO DE FRANÌàA NOLASCO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;190;REFERENTE A IMPRESSÌÄO GRAFICA DE SANTINHOS CAPITÌÄO ALBERTO 
CARLOS ALBERTO DE FRANÌàA NOLASCO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
CARLOS ALBERTO DE FRANÌàA NOLASCO;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;125,54;REERENTE IMPRESSÌÄO GRAFICA DE 10.000 SANTINHOS FORMATO 7X10 CMS
ELIZEU MESQUITA DA SILVA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;750;REF A IMPRESSÌÄO GRAFICA DE SANTINHOS ELISEU 50.000 UNID
